2,阿武隈急行,阿武隈急行線
2,JR東日本,男鹿線
3,東武鉄道,野田線
9,福岡市営地下鉄,1号線(空港線)
6,阪急電鉄,神戸高速線
3,JR東日本,上越新幹線
9,長崎電気軌道,大浦支線
5,えちぜん鉄道,勝山永平寺線
3,京成電鉄,成田空港線
3,西武鉄道,拝島線
5,黒部峡谷鉄道,本線
1,札幌市営地下鉄,東西線
9,筑豊電気鉄道,筑豊電気鉄道
8,とさでん交通,桟橋線
7,JR西日本,山陽線
1,函館市電,大森線
4,えちごトキめき鉄道,日本海ひすいライン
6,JR西日本,播但線
5,静岡鉄道,静岡清水線
3,JR東海,御殿場線
6,JR西日本,関西線
3,JR東日本,外房線
2,津軽鉄道,津軽鉄道線
5,樽見鉄道,樽見線
6,神戸新交通,六甲アイランド線
3,JR東日本,中央線
6,JR西日本,おおさか東線
9,JR九州,大村線
7,JR西日本,赤穂線
4,JR東日本,篠ノ井線
4,東武鉄道,鬼怒川線
8,四国ケーブル,四国ケーブル
6,阪急電鉄,宝塚線
5,近畿日本鉄道,志摩線
5,万葉線,新湊港線
7,広島電鉄,本線
6,大阪市営地下鉄,南港ポートタウン線
7,広島電鉄,宇品線
6,神戸電鉄,三田線
8,とさでん交通,後免線
9,JR九州,香椎線
8,とさでん交通,伊野線
7,広島電鉄,皆実線
3,東武鉄道,小泉線
1,JR北海道,留萌線
2,JR東日本,上越線
3,JR東日本,東北線（埼京線）
3,JR東日本,青梅線
6,京阪電気鉄道,鋼索線
9,肥薩おれんじ鉄道,肥薩おれんじ鉄道
6,JR西日本,舞鶴線
6,京阪電気鉄道,石山坂本線
6,阪神電気鉄道,武庫川線
3,JR東日本,常磐線
7,JR西日本,阪和線
4,あいの風とやま鉄道,あいの風とやま鉄道線
5,JR西日本,草津線
6,神戸市営地下鉄,山手線
5,三岐鉄道,北勢線
3,秩父鉄道,秩父本線
5,JR東海,参宮線
9,JR九州,長崎線
5,JR西日本,城端線
6,JR東海,東海道線
5,近畿日本鉄道,湯の山線
5,JR東海,中央線
4,JR東日本,飯山線
8,伊予鉄道,横河原線
3,東武鉄道,伊勢崎線
3,京成電鉄,千葉線
7,JR西日本,宇野線
3,横浜市営地下鉄,グリーンライン
5,JR東海,名松線
5,名古屋市営地下鉄,4号線名城線
2,JR東日本,気仙沼線
9,JR西日本,博多南線
2,三陸鉄道,南リアス線
2,青い森鉄道,青い森鉄道線
2,JR東日本,只見線
5,名古屋市営地下鉄,6号線桜通線
3,小田急電鉄,多摩線
7,水島臨海鉄道,水島本線
2,野岩鉄道,会津鬼怒川線
8,伊予鉄道,城南線
6,JR東海,東海道新幹線
3,大山観光電鉄,大山鋼索線
6,阪急電鉄,千里線
6,北大阪急行電鉄,南北線
6,大阪市営地下鉄,1号線(御堂筋線)
8,JR四国,予讃線
1,JR北海道,海峡線
3,西武鉄道,西武有楽町線
9,JR九州,篠栗線
2,JR東日本,常磐線
4,JR東日本,磐越西線
3,近畿日本鉄道,名古屋線
3,JR東日本,東金線
6,阪急電鉄,京都線
8,伊予鉄道,郡中線
3,富山地方鉄道,支線
3,相模鉄道,いずみ野線
3,西武鉄道,国分寺線
1,JR北海道,札沼線
5,JR東海,高山線
5,JR東海,東海道新幹線
7,JR西日本,山口線
3,京浜急行電鉄,大師線
9,JR九州,宮崎空港線
5,岳南電車,岳南線
9,長崎電気軌道,桜町支線
4,JR東日本,信越線
6,京福電気鉄道,鋼索線
2,JR東日本,羽越線
3,JR東日本,東北新幹線
6,JR西日本,関西空港線
9,JR九州,筑豊線
6,京福電気鉄道,北野線
2,JR東日本,大船渡線
5,阪堺電気軌道,阪堺線
9,熊本市電,田崎線
7,スカイレールサービス,広島短距離交通瀬野線
9,鹿児島市電,谷山線
6,近江鉄道,本線
5,JR東海,武豊線
4,JR東海,中央線
7,JR西日本,美祢線
9,JR九州,日田彦山線
6,阪堺電気軌道,阪堺線
5,JR西日本,北陸線
6,阪急電鉄,甲陽線
9,平成筑豊鉄道,門司港レトロ観光線
6,大阪市営地下鉄,8号線（今里筋線）
5,富山ライトレール,富山港線
3,東武鉄道,大師線
2,福島交通,飯坂線
6,神戸電鉄,粟生線
5,名古屋鉄道,犬山線
3,わたらせ渓谷鐵道,わたらせ渓谷線
2,JR東日本,左沢線
9,JR九州,山陽線
5,大井川鐵道,井川線
6,JR西日本,山陽新幹線
3,京成電鉄,千原線
3,千葉都市モノレール,1号線
7,JR西日本,福塩線
9,JR九州,唐津線
6,南海電気鉄道,高師浜線
5,名古屋鉄道,各務原線
4,アルピコ交通,上高地線
3,京王電鉄,井の頭線
6,近畿日本鉄道,けいはんな線
3,JR東日本,水戸線
9,JR九州,肥薩線
2,JR東日本,東北線
5,JR西日本,小浜線
3,都営地下鉄,新宿線
8,JR四国,徳島線
4,JR東日本,小海線
2,山形鉄道,フラワー長井線
6,近畿日本鉄道,天理線
3,埼玉新都市交通,伊奈線
7,JR西日本,宇部線
9,岡本製作所,別府ラクテンチケーブル線
4,富士急行,河口湖線
6,能勢電鉄,能勢電鉄
6,比叡山鉄道,比叡山鉄道線
7,岡山電気軌道,東山本線
6,近畿日本鉄道,御所線
6,京阪電気鉄道,宇治線
5,北陸鉄道,浅野川線
7,JR西日本,小野田線
6,近畿日本鉄道,道明寺線
3,湘南モノレール,江の島線
5,伊勢鉄道,伊勢線
7,JR九州,山陽線
5,三岐鉄道,三岐線
7,JR西日本,伯備線
3,西武鉄道,多摩川線
3,横浜高速鉄道,みなとみらい21線
4,長野電鉄,長野線
5,富山地方鉄道,本線
6,京阪電気鉄道,鴨東線
5,JR西日本,越美北線
5,愛知環状鉄道,愛知環状鉄道線
3,西武鉄道,山口線
4,東葉高速鉄道,東葉高速線
3,京浜急行電鉄,本線
1,JR北海道,宗谷線
6,近畿日本鉄道,南大阪線
2,JR東日本,奥羽線
9,南阿蘇鉄道,高森線
5,名古屋鉄道,蒲郡線
6,大阪高速鉄道,大阪モノレール線
7,JR西日本,山陰線
9,熊本市電,水前寺線
3,東急電鉄,田園都市線
5,近畿日本鉄道,田原本線
6,近畿日本鉄道,吉野線
6,JR西日本,山陰線
3,小田急電鉄,江ノ島線
3,横浜シーサイドライン,金沢シーサイドライン
9,JR九州,豊肥線
3,東急電鉄,東急多摩川線
3,東京メトロ,有楽町線
